FILTER,,,,
region,All,,Customer,
market,India,,Net Sales Performance,
division,All,,All Values are in USD,
,,,,
Customer,2019,2020,2021,2021 vs 2020
Amazon,4.6M,9.8M,23.0M,134.89%
AtliQ e Store,1.6M,3.5M,8.7M,149.11%
AtliQ Exclusive,3.4M,4.7M,18.4M,292.62%
Croma,1.7M,2.5M,7.5M,205.11%
Ebay,1.7M,3.6M,8.5M,135.86%
Electricalslytical,1.6M,2.0M,8.4M,331.14%
Electricalsocity,1.8M,2.3M,9.4M,315.09%
Expression,1.5M,2.2M,8.8M,291.25%
Ezone,1.5M,2.0M,7.9M,291.62%
Flipkart,1.9M,4.3M,9.9M,131.82%
Girias,1.5M,2.1M,8.7M,319.29%
Lotus,1.5M,2.1M,8.1M,282.61%
Propel,1.6M,2.2M,9.1M,313.72%
Reliance Digital,1.6M,2.2M,8.5M,287.19%
Vijay Sales,1.7M,2.1M,8.5M,297.78%
Viveks,1.6M,2.2M,7.8M,248.10%
Grand Total,30.8M,49.8M,161.3M,224.02%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
